Time, Stove, Ready, Assistant, Remarks
136 ,i(cook=8), k(cook=18) a(cook=20) b(cook=20), l(prep=14),none
137 ,i(cook=7), k(cook=18) a(cook=20) b(cook=20), l(prep=13),none
138 ,i(cook=6), k(cook=18) a(cook=20) b(cook=20), l(prep=12),none
139 ,i(cook=5), k(cook=18) a(cook=20) b(cook=20), l(prep=11),none
140 ,i(cook=4), k(cook=18) a(cook=20) b(cook=20), l(prep=10),none
141 ,i(cook=3), k(cook=18) a(cook=20) b(cook=20), l(prep=9),none
142 ,i(cook=2), k(cook=18) a(cook=20) b(cook=20), l(prep=8),none
143 ,i(cook=1), k(cook=18) a(cook=20) b(cook=20), l(prep=7),none
144 ,Cleaning, k(cook=18) a(cook=20) b(cook=20), l(prep=6) i(prep=3),i is done cooking|stove is cleaning|
145 ,k(cook=18), a(cook=20) b(cook=20), l(prep=5) i(prep=2),none
146 ,k(cook=17), a(cook=20) b(cook=20), l(prep=4) i(prep=1),none
147 ,k(cook=16), i(cook=13) a(cook=20) b(cook=20), l(prep=3),i is prepared|
148 ,k(cook=15), i(cook=13) a(cook=20) b(cook=20), l(prep=2),none
149 ,k(cook=14), i(cook=13) a(cook=20) b(cook=20), l(prep=1),none
150 ,k(cook=13), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,l is prepared|
151 ,k(cook=12), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
152 ,k(cook=11), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
153 ,k(cook=10), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
154 ,k(cook=9), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
155 ,k(cook=8), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
156 ,k(cook=7), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
157 ,k(cook=6), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
158 ,k(cook=5), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
159 ,k(cook=4), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
160 ,k(cook=3), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
161 ,k(cook=2), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
162 ,k(cook=1), l(cook=2) i(cook=13) a(cook=20) b(cook=20),none,none
163 ,Cleaning, l(cook=2) i(cook=13) a(cook=20) b(cook=20), k(prep=5),k is done cooking|stove is cleaning|
164 ,l(cook=2), i(cook=13) a(cook=20) b(cook=20), k(prep=4),none
