Generation 0 average fitness: 41.58701878059255
Generation 1 average fitness: 43.06256095814928
Warning: generation 2 has lower average fitness
Generation 2 average fitness: 42.952513760580835
Generation 3 average fitness: 43.09923365675893
Generation 4 average fitness: 43.547579588956
Generation 5 average fitness: 44.03943627412925
Warning: generation 6 has lower average fitness
Generation 6 average fitness: 43.91949945963551
Generation 7 average fitness: 44.379390764932516
Warning: generation 8 has lower average fitness
Generation 8 average fitness: 43.69155292192234
Generation 9 average fitness: 43.83677900233817
Generation 10 average fitness: 43.914743087093655
Generation 11 average fitness: 44.86078395575945
Warning: generation 12 has lower average fitness
Generation 12 average fitness: 43.18424162517948
Generation 13 average fitness: 45.34969278143724
Generation 14 average fitness: 45.40958279937785
Generation 15 average fitness: 46.311497599290504
Warning: generation 16 has lower average fitness
Generation 16 average fitness: 44.27670892408859
Generation 17 average fitness: 45.19989967260312
Warning: generation 18 has lower average fitness
Generation 18 average fitness: 44.73757260902792
Warning: generation 19 has lower average fitness
Generation 19 average fitness: 44.27059120604778
Warning: generation 20 has lower average fitness
Generation 20 average fitness: 44.24175609556526
Generation 21 average fitness: 45.943272680452544
Warning: generation 22 has lower average fitness
Generation 22 average fitness: 45.24816232926096
Generation 23 average fitness: 45.24899139685275
Generation 24 average fitness: 46.647159156973046
Time, Stove, Ready, Assistant, Remarks
65 ,g(cook=4), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=4),none
66 ,g(cook=3), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=3),none
67 ,g(cook=2), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=2),none
68 ,g(cook=1), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=1),none
69 ,Cleaning, h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=9),g is done cooking|stove is cleaning|c is done|
70 ,h(cook=7), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=8),none
71 ,h(cook=6), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=7),none
72 ,h(cook=5), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=6),none
73 ,h(cook=4), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=5),none
74 ,h(cook=3), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=4),none
75 ,h(cook=2), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=3),none
76 ,h(cook=1), f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=2),none
77 ,Cleaning, f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=1) h(prep=5),h is done cooking|stove is cleaning|
78 ,g(cook=1), f(cook=3) e(cook=5) d(cook=10) i(cook=9), h(prep=5),g is prepared|
79 ,Cleaning, f(cook=3) e(cook=5) d(cook=10) i(cook=9), h(prep=4),g is done|stove is cleaning|
80 ,f(cook=3), e(cook=5) d(cook=10) i(cook=9), h(prep=3),none
81 ,f(cook=2), e(cook=5) d(cook=10) i(cook=9), h(prep=2),none
82 ,f(cook=1), e(cook=5) d(cook=10) i(cook=9), h(prep=1),none
83 ,Cleaning, h(cook=8) e(cook=5) d(cook=10) i(cook=9), f(prep=10),f is done cooking|stove is cleaning|h is prepared|
84 ,h(cook=8), e(cook=5) d(cook=10) i(cook=9), f(prep=9),none
85 ,h(cook=7), e(cook=5) d(cook=10) i(cook=9), f(prep=8),none
86 ,h(cook=6), e(cook=5) d(cook=10) i(cook=9), f(prep=7),none
87 ,h(cook=5), e(cook=5) d(cook=10) i(cook=9), f(prep=6),none
88 ,h(cook=4), e(cook=5) d(cook=10) i(cook=9), f(prep=5),none
89 ,h(cook=3), e(cook=5) d(cook=10) i(cook=9), f(prep=4),none
90 ,h(cook=2), e(cook=5) d(cook=10) i(cook=9), f(prep=3),none
91 ,h(cook=1), e(cook=5) d(cook=10) i(cook=9), f(prep=2),none
92 ,Cleaning, e(cook=5) d(cook=10) i(cook=9), f(prep=1) h(prep=5),h is done cooking|stove is cleaning|
93 ,f(cook=5), e(cook=5) d(cook=10) i(cook=9), h(prep=5),f is prepared|
94 ,f(cook=4), e(cook=5) d(cook=10) i(cook=9), h(prep=4),none
95 ,f(cook=3), e(cook=5) d(cook=10) i(cook=9), h(prep=3),none
96 ,f(cook=2), e(cook=5) d(cook=10) i(cook=9), h(prep=2),none
97 ,f(cook=1), e(cook=5) d(cook=10) i(cook=9), h(prep=1),none
98 ,Cleaning, h(cook=3) e(cook=5) d(cook=10) i(cook=9), f(prep=7),f is done cooking|stove is cleaning|h is prepared|
99 ,h(cook=3), e(cook=5) d(cook=10) i(cook=9), f(prep=6),none
100 ,h(cook=2), e(cook=5) d(cook=10) i(cook=9), f(prep=5),none
101 ,h(cook=1), e(cook=5) d(cook=10) i(cook=9), f(prep=4),none
102 ,Cleaning, e(cook=5) d(cook=10) i(cook=9), f(prep=3),h is done|stove is cleaning|
103 ,e(cook=5), d(cook=10) i(cook=9), f(prep=2),none
104 ,e(cook=4), d(cook=10) i(cook=9), f(prep=1),none
105 ,e(cook=3), f(cook=8) d(cook=10) i(cook=9),none,f is prepared|
106 ,e(cook=2), f(cook=8) d(cook=10) i(cook=9),none,none
107 ,e(cook=1), f(cook=8) d(cook=10) i(cook=9),none,none
108 ,Cleaning, f(cook=8) d(cook=10) i(cook=9), e(prep=10),e is done cooking|stove is cleaning|
109 ,f(cook=8), d(cook=10) i(cook=9), e(prep=9),none
110 ,f(cook=7), d(cook=10) i(cook=9), e(prep=8),none
111 ,f(cook=6), d(cook=10) i(cook=9), e(prep=7),none
112 ,f(cook=5), d(cook=10) i(cook=9), e(prep=6),none
113 ,f(cook=4), d(cook=10) i(cook=9), e(prep=5),none
114 ,f(cook=3), d(cook=10) i(cook=9), e(prep=4),none
115 ,f(cook=2), d(cook=10) i(cook=9), e(prep=3),none
116 ,f(cook=1), d(cook=10) i(cook=9), e(prep=2),none
117 ,Cleaning, d(cook=10) i(cook=9), e(prep=1) f(prep=5),f is done cooking|stove is cleaning|
118 ,d(cook=10), e(cook=10) i(cook=9), f(prep=5),e is prepared|
119 ,d(cook=9), e(cook=10) i(cook=9), f(prep=4),none
120 ,d(cook=8), e(cook=10) i(cook=9), f(prep=3),none
121 ,d(cook=7), e(cook=10) i(cook=9), f(prep=2),none
122 ,d(cook=6), e(cook=10) i(cook=9), f(prep=1),none
123 ,d(cook=5), f(cook=5) e(cook=10) i(cook=9),none,f is prepared|
124 ,d(cook=4), f(cook=5) e(cook=10) i(cook=9),none,none
125 ,d(cook=3), f(cook=5) e(cook=10) i(cook=9),none,none
126 ,d(cook=2), f(cook=5) e(cook=10) i(cook=9),none,none
127 ,d(cook=1), f(cook=5) e(cook=10) i(cook=9),none,none
128 ,Cleaning, f(cook=5) e(cook=10) i(cook=9), d(prep=3),d is done cooking|stove is cleaning|
129 ,f(cook=5), e(cook=10) i(cook=9), d(prep=2),none
130 ,f(cook=4), e(cook=10) i(cook=9), d(prep=1),none
131 ,f(cook=3), d(cook=8) e(cook=10) i(cook=9),none,d is prepared|
132 ,f(cook=2), d(cook=8) e(cook=10) i(cook=9),none,none
133 ,f(cook=1), d(cook=8) e(cook=10) i(cook=9),none,none
134 ,Cleaning, d(cook=8) e(cook=10) i(cook=9), f(prep=1),f is done cooking|stove is cleaning|
135 ,f(cook=4), d(cook=8) e(cook=10) i(cook=9),none,f is prepared|
136 ,f(cook=3), d(cook=8) e(cook=10) i(cook=9),none,none
137 ,f(cook=2), d(cook=8) e(cook=10) i(cook=9),none,none
138 ,f(cook=1), d(cook=8) e(cook=10) i(cook=9),none,none
139 ,Cleaning, d(cook=8) e(cook=10) i(cook=9),none,f is done|stove is cleaning|
140 ,d(cook=8), e(cook=10) i(cook=9),none,none
141 ,d(cook=7), i(cook=9) e(cook=10),none,none
142 ,d(cook=6), i(cook=9) e(cook=10),none,none
143 ,d(cook=5), i(cook=9) e(cook=10),none,none
144 ,d(cook=4), i(cook=9) e(cook=10),none,none
145 ,d(cook=3), i(cook=9) e(cook=10),none,none
146 ,d(cook=2), i(cook=9) e(cook=10),none,none
147 ,d(cook=1), i(cook=9) e(cook=10),none,none
148 ,Cleaning, i(cook=9) e(cook=10), d(prep=8),d is done cooking|stove is cleaning|
149 ,e(cook=10), i(cook=9), d(prep=7),none
150 ,e(cook=9), i(cook=9), d(prep=6),none
151 ,e(cook=8), i(cook=9), d(prep=5),none
152 ,e(cook=7), i(cook=9), d(prep=4),none
153 ,e(cook=6), i(cook=9), d(prep=3),none
154 ,e(cook=5), i(cook=9), d(prep=2),none
155 ,e(cook=4), i(cook=9), d(prep=1),none
156 ,e(cook=3), d(cook=9) i(cook=9),none,d is prepared|
157 ,e(cook=2), d(cook=9) i(cook=9),none,none
158 ,e(cook=1), d(cook=9) i(cook=9),none,none
159 ,Cleaning, d(cook=9) i(cook=9), e(prep=7),e is done cooking|stove is cleaning|
160 ,d(cook=9), i(cook=9), e(prep=6),none
161 ,d(cook=8), i(cook=9), e(prep=5),none
162 ,d(cook=7), i(cook=9), e(prep=4),none
163 ,d(cook=6), i(cook=9), e(prep=3),none
164 ,d(cook=5), i(cook=9), e(prep=2),none
165 ,d(cook=4), i(cook=9), e(prep=1),none
166 ,d(cook=3), e(cook=8) i(cook=9),none,e is prepared|
167 ,d(cook=2), e(cook=8) i(cook=9),none,none
168 ,d(cook=1), e(cook=8) i(cook=9),none,none
169 ,Cleaning, e(cook=8) i(cook=9), d(prep=2),d is done cooking|stove is cleaning|
